編號,圖層,顏色,街廓編號,分區代碼,分區簡稱,使用分區
10,21,9,,I,工,工業區
11,26,10,,C,文教,文教區
12,49,7,,PW1,河川區,河川區
13,26,10,,C,文教,文教區
14,30,15,,K,保存,保存區
15,53,14,,S1,糧倉,糧倉專用區
16,30,15,,K,保存,保存區
17,30,15,,K,保存,保存區
18,53,3,,O1,機場專區,機場邊緣特定專用區
19,49,7,,PW1,河川區,河川區
20,27,82,,E,遊,遊樂區
21,27,82,,E,遊,遊樂區
22,11,3,,B,商,商業區
23,10,4,,R,住,住宅區
24,10,4,,R,住,住宅區
25,10,4,,R,住,住宅區
26,10,4,,R,住,住宅區
27,10,4,,R,住,住宅區
28,10,4,,R,住,住宅區
29,10,4,,R,住,住宅區
30,10,4,,R,住,住宅區
31,10,4,,R,住,住宅區
32,10,4,,R,住,住宅區
33,10,4,,R,住,住宅區
34,10,4,,R,住,住宅區
35,10,4,,R,住,住宅區
36,10,4,,R,住,住宅區
37,10,4,,R,住,住宅區
38,10,4,,R,住,住宅區
39,10,4,,R,住,住宅區
40,10,4,,R,住,住宅區
41,10,4,,R,住,住宅區
42,10,4,,R,住,住宅區
43,25,9,,IF,產服,產業服務區
44,25,9,,IF,產服,產業服務區
45,10,4,,R,住,住宅區
46,28,29,,F,娛,娛樂區
47,10,4,,R,住,住宅區
48,21,9,,I,工,工業區
49,21,9,,I,工,工業區
50,10,4,,R,住,住宅區
51,10,4,,R,住,住宅區
52,11,3,,B,商,商業區
53,11,3,,B,商,商業區
54,11,3,,B,商,商業區
55,11,3,,B,商,商業區
56,11,3,,B,商,商業區
57,11,3,,B,商,商業區
58,11,3,,B,商,商業區
59,11,3,,B,商,商業區
60,11,3,,B,商,商業區
61,10,4,,R,住,住宅區
62,11,3,,B,商,商業區
63,11,3,,B,商,商業區
64,10,4,,R,住,住宅區
65,21,9,,I,工,工業區
66,10,4,,R,住,住宅區
67,10,4,,R,住,住宅區
68,11,3,,B,商,商業區
69,21,9,,I,工,工業區
70,10,4,,R,住,住宅區
71,11,3,,B,商,商業區
72,10,4,,R,住,住宅區
73,10,4,,R,住,住宅區
74,31,14,,L,風,風景區
75,10,4,,R,住,住宅區
76,10,4,,R,住,住宅區
77,11,3,,B,商,商業區
78,10,4,,R,住,住宅區
79,10,4,,R,住,住宅區
80,10,4,,R,住,住宅區
81,11,3,,B,商,商業區
82,10,4,,R,住,住宅區
83,30,15,,K1,古蹟,古蹟用地
84,10,4,,R,住,住宅區
85,11,3,,B,商,商業區
86,10,4,,R,住,住宅區
87,11,3,,B,商,商業區
88,10,4,,R,住,住宅區
89,11,3,,B,商,商業區
90,10,4,,R,住,住宅區
91,11,3,,B,商,商業區
92,11,3,,B,商,商業區
93,10,4,,R,住,住宅區
94,10,4,,R,住,住宅區
95,11,3,,B,商,商業區
96,10,4,,R,住,住宅區
97,11,3,,B,商,商業區
98,10,4,,R,住,住宅區
99,10,4,,R,住,住宅區
100,26,10,,C,文教,文教區
101,26,10,,C,文教,文教區
102,26,10,,C,文教,文教區
103,10,4,,R,住,住宅區
104,10,4,,R,住,住宅區
105,10,4,,R,住,住宅區
106,10,4,,R,住,住宅區
107,10,4,,R,住,住宅區
108,10,4,,R,住,住宅區
109,10,4,,R,住,住宅區
110,10,4,,R,住,住宅區
111,11,3,,B,商,商業區
112,10,4,,R,住,住宅區
113,10,4,,R,住,住宅區
114,21,9,,I,工,工業區
115,10,4,,R,住,住宅區
116,11,3,,B,商,商業區
117,53,3,,D3,商務產業,商務產業專用區
118,21,9,,I,工,工業區
119,10,4,,R,住,住宅區
120,10,4,,R,住,住宅區
121,10,4,,R,住,住宅區
122,10,4,,R,住,住宅區
123,11,3,,B,商,商業區
124,10,4,,R,住,住宅區
125,10,4,,R,住,住宅區
126,10,4,,R,住,住宅區
127,10,4,,R,住,住宅區
128,10,4,,R,住,住宅區
129,10,4,,R,住,住宅區
130,10,4,,R,住,住宅區
131,10,4,,R,住,住宅區
132,30,15,,K,保存,保存區
133,10,4,,R,住,住宅區
134,10,4,,R,住,住宅區
135,49,7,,PW1,河川區,河川區
136,26,10,,C,文教,文教區
137,10,4,,R,住,住宅區
138,10,4,,R,住,住宅區
139,26,10,,C,文教,文教區
140,26,10,,C,文教,文教區
141,49,7,,PW1,河川區,河川區
142,49,7,,PW1,河川區,河川區
143,26,10,,C,文教,文教區
144,11,3,,B,商,商業區
145,10,4,,R,住,住宅區
146,49,7,,PW1,河川區,河川區
147,10,4,,R,住,住宅區
148,47,50,,T,保,保護區
149,10,4,,R,住,住宅區
150,10,4,,R,住,住宅區
151,10,4,,R,住,住宅區
152,41,10,,PSG,大學用地,大學用地
153,47,50,,T,保,保護區
154,11,3,,B,商,商業區
155,10,4,,R,住,住宅區
156,10,4,,R,住,住宅區
157,10,4,,R,住,住宅區
158,10,4,,R,住,住宅區
159,10,4,,R,住,住宅區
160,11,3,,B,商,商業區
161,11,3,,B,商,商業區
162,11,3,,B,商,商業區
163,11,3,,B,商,商業區
164,10,4,,R,住,住宅區
165,10,4,,R,住,住宅區
166,10,4,,R,住,住宅區
167,10,4,,R,住,住宅區
168,10,4,,R,住,住宅區
169,10,4,,R,住,住宅區
170,10,4,,R,住,住宅區
171,11,3,,B,商,商業區
172,11,3,,B,商,商業區
173,10,4,,R,住,住宅區
174,11,3,,B,商,商業區
175,10,4,,R,住,住宅區
176,11,3,,B,商,商業區
177,10,4,,R,住,住宅區
178,10,4,,R,住,住宅區
179,10,4,,R,住,住宅區
180,10,4,,R,住,住宅區
181,10,4,,R,住,住宅區
182,30,15,,K,保存,保存區
183,10,4,,R,住,住宅區
184,10,4,,R,住,住宅區
185,10,4,,R,住,住宅區
186,10,4,,R,住,住宅區
187,10,4,,R,住,住宅區
188,10,4,,R,住,住宅區
189,10,4,,R,住,住宅區
190,47,50,,T,保,保護區
191,47,50,,T,保,保護區
192,47,50,,T,保,保護區
193,10,4,,R,住,住宅區
194,47,50,,T,保,保護區
195,47,50,,T,保,保護區
196,47,50,,T,保,保護區
197,47,50,,T,保,保護區
198,47,50,,T,保,保護區
199,47,50,,T,保,保護區
200,47,50,,T,保,保護區
201,52,14,,A,農,農業區
202,47,50,,T,保,保護區
203,10,4,,R,住,住宅區
204,10,4,,R,住,住宅區
205,10,4,,R,住,住宅區
206,10,4,,R,住,住宅區
207,10,4,,R,住,住宅區
208,10,4,,R,住,住宅區
209,10,4,,R,住,住宅區
210,47,50,,T,保,保護區
211,47,50,,T,保,保護區
212,26,10,,C,文教,文教區
213,26,10,,C,文教,文教區
214,26,10,,C,文教,文教區
215,26,10,,C,文教,文教區
216,26,10,,C,文教,文教區
217,26,10,,C,文教,文教區
218,10,4,,R,住,住宅區
219,10,4,,R,住,住宅區
220,10,4,,R,住,住宅區
221,10,4,,R,住,住宅區
222,49,7,,PW1,河川區,河川區
223,10,4,,R,住,住宅區
224,49,7,,PW1,河川區,河川區
225,10,4,,R,住,住宅區
226,10,4,,R,住,住宅區
227,47,50,,T,保,保護區
228,47,50,,T,保,保護區
229,47,50,,T,保,保護區
230,10,4,,R,住,住宅區
231,10,4,,R,住,住宅區
232,10,4,,R,住,住宅區
233,10,4,,R,住,住宅區
234,10,4,,R,住,住宅區
235,11,3,,B,商,商業區
236,47,50,,T,保,保護區
237,10,4,,R,住,住宅區
238,10,4,,R,住,住宅區
239,10,4,,R,住,住宅區
240,10,4,,R,住,住宅區
241,47,50,,T,保,保護區
242,10,4,,R,住,住宅區
243,10,4,,R,住,住宅區
244,10,4,,R,住,住宅區
245,47,50,,T,保,保護區
246,10,4,,R,住,住宅區
247,44,13,,PUE5,自設,自來水設備用地
248,44,13,,PUE5,自設,自來水設備用地
249,10,4,,R,住,住宅區
250,44,13,,PUE5,自設,自來水設備用地
251,10,4,,R,住,住宅區
252,38,13,,PHD,醫專,醫療專用區
253,21,9,,I,工,工業區
254,21,9,,I,工,工業區
255,21,9,,I,工,工業區
256,21,9,,I,工,工業區
257,21,9,,I,工,工業區
258,21,9,,I,工,工業區
259,21,9,,I,工,工業區
260,21,9,,I,工,工業區
261,21,9,,I,工,工業區
262,21,9,,I,工,工業區
263,21,9,,I,工,工業區
264,21,9,,I,工,工業區
265,21,9,,I,工,工業區
266,21,9,,I,工,工業區
267,21,9,,I,工,工業區
268,21,9,,I,工,工業區
269,21,9,,I,工,工業區
270,21,9,,I,工,工業區
271,21,9,,I,工,工業區
272,21,9,,I,工,工業區
273,21,9,,I,工,工業區
274,21,9,,I,工,工業區
275,10,4,,R,住,住宅區
276,10,4,,R,住,住宅區
277,10,4,,R,住,住宅區
278,10,4,,R,住,住宅區
279,10,4,,R,住,住宅區
280,10,4,,R,住,住宅區
281,10,4,,R,住,住宅區
282,10,4,,R,住,住宅區
283,11,3,,B,商,商業區
284,11,3,,B,商,商業區
285,10,4,,R,住,住宅區
286,11,3,,B,商,商業區
287,217,3,,D,特,特定專用區
288,217,3,,D,特,特定專用區
289,217,3,,D,特,特定專用區
290,217,3,,D,特,特定專用區
291,217,3,,D,特,特定專用區
292,10,4,,R,住,住宅區
293,10,4,,R,住,住宅區
294,10,4,,R,住,住宅區
295,11,3,,B,商,商業區
296,10,4,,R,住,住宅區
297,10,4,,R,住,住宅區
298,10,4,,R,住,住宅區
299,11,3,,B,商,商業區
300,11,3,,B,商,商業區
301,11,3,,B,商,商業區
302,10,4,,R,住,住宅區
303,10,4,,R,住,住宅區
304,10,4,,R,住,住宅區
305,10,4,,R,住,住宅區
306,10,4,,R,住,住宅區
307,10,4,,R,住,住宅區
308,10,4,,R,住,住宅區
309,10,4,,R,住,住宅區
310,10,4,,R,住,住宅區
311,10,4,,R,住,住宅區
312,10,4,,R,住,住宅區
313,10,4,,R,住,住宅區
314,10,4,,R,住,住宅區
315,10,4,,R,住,住宅區
316,11,3,,B,商,商業區
317,10,4,,R,住,住宅區
318,10,4,,R,住,住宅區
319,10,4,,R,住,住宅區
320,10,4,,R,住,住宅區
321,26,10,,C,文教,文教區
322,11,3,,B,商,商業區
323,11,3,,B,商,商業區
324,10,4,,R,住,住宅區
325,10,4,,R,住,住宅區
326,10,4,,R,住,住宅區
327,10,4,,R,住,住宅區
328,10,4,,R,住,住宅區
329,10,4,,R,住,住宅區
330,10,4,,R,住,住宅區
331,11,3,,B,商,商業區
332,10,4,,R,住,住宅區
333,47,50,,T,保,保護區
334,10,4,,R,住,住宅區
335,10,4,,R,住,住宅區
336,10,4,,R,住,住宅區
337,10,4,,R,住,住宅區
338,11,3,,B,商,商業區
339,11,3,,B,商,商業區
340,11,3,,B,商,商業區
341,10,4,,R,住,住宅區
342,10,4,,R,住,住宅區
343,10,4,,R,住,住宅區
344,10,4,,R,住,住宅區
345,10,4,,R,住,住宅區
346,26,10,,C,文教,文教區
347,10,4,,R,住,住宅區
348,10,4,,R,住,住宅區
349,11,3,,B,商,商業區
350,11,3,,B,商,商業區
351,10,4,,R,住,住宅區
352,10,4,,R,住,住宅區
353,10,4,,R,住,住宅區
354,10,4,,R,住,住宅區
355,10,4,,R,住,住宅區
356,11,3,,B,商,商業區
357,10,4,,R,住,住宅區
358,11,3,,B,商,商業區
359,10,4,,R,住,住宅區
360,10,4,,R,住,住宅區
361,10,4,,R,住,住宅區
362,10,4,,R,住,住宅區
363,11,3,,B,商,商業區
364,10,4,,R,住,住宅區
365,11,3,,B,商,商業區
366,11,3,,B,商,商業區
367,11,3,,B,商,商業區
368,53,3,,D10,金資,金融資訊專用區
369,10,4,,R,住,住宅區
370,11,3,,B,商,商業區
371,11,3,,B,商,商業區
372,10,4,,R,住,住宅區
373,10,4,,R,住,住宅區
374,10,4,,R,住,住宅區
375,10,4,,R,住,住宅區
376,10,4,,R,住,住宅區
377,10,4,,R,住,住宅區
378,10,4,,R,住,住宅區
379,11,3,,B,商,商業區
380,47,50,,T,保,保護區
381,10,4,,R,住,住宅區
382,10,4,,R,住,住宅區
383,10,4,,R,住,住宅區
384,11,3,,B,商,商業區
385,10,4,,R,住,住宅區
386,49,7,,PW1,河川區,河川區
387,11,3,,B,商,商業區
388,10,4,,R,住,住宅區
389,47,50,,T,保,保護區
390,47,50,,T,保,保護區
391,30,15,,K,保存,保存區
392,49,7,,PW1,河川區,河川區
393,53,3,,D15,露營專用,露營場專用區
394,47,50,,T,保,保護區
395,21,9,,I,工,工業區
396,21,9,,I,工,工業區
397,10,4,,R,住,住宅區
398,21,9,,I,工,工業區
399,21,9,,I,工,工業區
400,21,9,,I,工,工業區
401,11,3,,B,商,商業區
402,10,4,,R,住,住宅區
403,49,7,,PW1,河川區,河川區
404,49,7,,PW1,河川區,河川區
405,47,50,,T,保,保護區
406,47,50,,T,保,保護區
407,47,50,,T,保,保護區
408,47,50,,T,保,保護區
409,47,50,,T,保,保護區
410,47,50,,T,保,保護區
411,47,50,,T,保,保護區
412,26,10,,C,文教,文教區
413,49,7,,PW1,河川區,河川區
414,49,7,,PW1,河川區,河川區
415,49,7,,PW1,河川區,河川區
416,49,7,,PW1,河川區,河川區
417,49,7,,PW1,河川區,河川區
418,49,7,,PW1,河川區,河川區
419,49,7,,PW1,河川區,河川區
