顏色,分區代碼,分區簡稱,使用分區
10,PSF1,台北工專,台北工專用地
10,PSF3,台灣大學,台灣大學用地
10,PSC,國中,國中用地
10,PSB,國小,國小用地
10,PSF7,藝術大學,國立臺北藝術大學用地
10,PSF9,國立陽明大學,國立陽明大學用地
10,PSG,大學用地,大學用地
10,PSF,大專,大專用地
10,PS,文,學校用地
10,D24,宗教專用,宗教特定專用區
10,PSD4,啟明學校,市立啟明學校用地
10,PSD3,啟智學校,市立啟智學校用地
10,PSF2,師專,師專用地
10,PSF5,師範大學,師範大學用地
10,PSD2,復興劇校,復興劇校學校用地
10,PSF4,政治大學,政治大學用地
10,C,文教,文教區
10,CIA2,文教,文教區(供奎山實驗高級中等學校使用)
10,CIA1,文教,文教區(供幼華高級中學使用)
10,CIA3,文教,文教區(供私立東山高中使用)
10,CHA1,文教,文教區(供私立薇閣中小學使用)
10,CJA1,文教,文教區(供臺北城市科技大學使用)
10,CKA1,文教,文教區(供馬偕醫護管理專科學校使用)
10,PSA,文教用地,文教用地
10,PSA2,社教,社教用地
10,CDU,中國海專,私立中國海專用地
10,CED,德明商專,私立德明商專學校用地
10,CEC,文化大學,私立文化大學用地
10,CDI,文德女中,私立文德女中學校用地
10,CDH,西湖工商,私立西湖工商學校用地
10,PSF6,警校,警察學校用地
10,PSD,高中,高中用地
10,PSE,高職,高職用地
11,PTA3,高速公路,高速公路用地
13,O3,軍事會館,中央各軍事學校同學會館建築用地
13,PTE5,公調,公車調度站用地
13,PUF2,學校郵政,學校及郵政用地
13,PGAD,市民運動中心,市民運動中心用地
13,PFD1,抽,抽水站用地
13,PGAE,機關社福,機關及社會福利設施用地
13,PG,機,機關用地
13,PG3,機,機關用地(供中央機關使用)
13,PGAH,機(兼社福),機關用地兼供社會福利設施使用
13,PFD2,污抽,污水抽水站用地
13,PFC3,沉砂池,沉砂池用地
13,PGB4,消防,消防用地
13,PGA0,社教機構,社教機構用地
13,PGAF,社福機關,社會福利設施及機關用地
13,PGAC,社福,社會福利設施用地
13,PGAG,社福及機關,社福及機關用地
13,PGAO,社福及機關,社福及機關用地(供本府及相關單位公務使用)
13,PUE,水,自來水事業用地
13,PUE4,加壓站,自來水加壓站用地
13,PUE3,自來水工程,自來水工程用地
13,PUE1,自來水廠,自來水廠用地
13,PUE2,自,自來水用地
13,PUE5,自設,自來水設備用地
13,G,行政,行政區
13,G01,行專,行政專用區
13,PGAI,衛福,衛生及社會福利設施用地
13,PGAP,衛福機關,衛福及機關用地
13,PTE4,調,調度站用地
13,PGB1,警察機關,警察機關用地
13,PGC,軍事機關,軍事機關用地
13,PUF,郵,郵政用地
13,PUF1,郵電,郵政電信用地
13,PHI,醫療衛生,醫療及衛生用地
13,PHD,醫專,醫療專用區
13,PHC,醫療,醫療用地
13,PHB,醫院,醫院用地
13,PFC1,蓄水池,防洪蓄水池用地
13,PFC2,調節池,防洪調節池用地
13,D29,電信社福,電信及社會福利專用區
13,PUC1,電信專用,電信專用區
13,PUC,電信,電信用地
13,PUB3,電路鐵塔,電路鐵塔用地
14,S1,糧倉,糧倉專用區
14,A,農,農業區
14,L,風,風景區
15,PE,中正紀念堂,中正紀念堂用地
15,K,保存,保存區
15,K3,古蹟區,古蹟保存區
15,K1,古蹟,古蹟用地
15,KD,寺專,寺廟專用區
16,PTD,停,停車場用地
16,PM,市,市場用地
16,PMA,批,批發市場用地
16,PGAB,服務中心,服務中心用地
17,PED1,交廣,交通廣場用地
17,PUG,油,加油站用地
17,PED,廣場,廣場用地
17,PED2,文廣,文化廣場用地
17,PTR,道,道路用地
18,PTA,交,交通用地
18,PTA2,人行步道,人行步道(無遮簷)
18,PTA1,人行步道,人行步道用地
18,PPB,垃圾掩埋場,垃圾掩理場用地
18,PPA,垃圾處理場,垃圾處理場用地
18,PTG3,捷,捷運系統用地
18,PTG4,捷(兼道),捷運系統用地(兼供道路使用)
18,PTA8,擋土牆護坡,擋土牆護坡用地
18,PTAA,橋樑用地,橋樑用地
18,PTE,機場,機場用地
18,PPC,污,污水處理場用地
18,PUA,煤氣,煤氣公用事業用地
18,PTA5,護坡,護坡用地
18,PUB1,變,變電所用地
18,PTC,車站,車站用地
18,PTG2,轉運站,轉運站用地
18,PTA6,道路護坡,道路護坡用地
18,PTB,鐵,鐵路用地
18,PTA4,隧道,隧道用地
18,PUB,電力,電力設施用地
19,PEAB,公園廣場,公園廣場用地
19,PEA,公,公園用地
19,PEA1,公綠,公園綠地
19,D8,創文專用區,創意文化專用區
19,PEC3,動物園,動物園用地
19,PEB3,綠(苗),綠地(苗圃)
19,PEB,綠,綠地用地
19,PEC2,體育場,體育場用地
29,F,娛,娛樂區
3,D26,博特,博物館特定專用區
3,D3,商務產業,商務產業專用區
3,B,商,商業區
3,D12,國際公共服務,國際事務及公共服務特定專用區
3,BAI,捷運開發,捷運開發區
3,D18,文特,文化特定專用區
3,D9,文觀專用區,文化觀光專用區
3,O1,機場專區,機場邊緣特定專用區
3,D13,歷史聚落專用,歷史聚落風貌特定專用區
3,D28,溫特區,溫泉產業特定專用區
3,D,特,特定專用區
3,B5,觀商,特定觀光商業專用區
3,D25,產業專用,產業支援專用區
3,K5,聚落專用,聚落風貌保存專用區
3,BAH,聯合開發,聯合開發區
3,D7,資產專用區,資訊產業專用區
3,D6,金融專用區,金融服務專用區
3,D10,金資,金融資訊專用區
3,D15,露營專用,"露營場專用區
"
34,PDB,墓,公墓用地
34,PDB1,軍人公墓,軍人公墓用地
4,R,住,住宅區
4,PDA,殯,殯儀館用地
4,PDA2,殯葬設施,殯葬設施用地
