使用分區,分區代碼,顏色,main_category,classification_note,review_required
中央各軍事學校同學會館建築用地,O3,13,公共行政服務,,False
中正紀念堂用地,PE,15,文化宗教保存,,False
交通廣場用地,PED1,17,交通運輸,,False
交通用地,PTA,18,交通運輸,,False
人行步道(無遮簷),PTA2,18,交通運輸,,False
人行步道用地,PTA1,18,交通運輸,,False
休閒農業特定專用區,D19,50,農業,,False
住宅區,R,4,住宅,,False
保存區,K,15,文化宗教保存,,False
保護區,T,50,保護保育,,False
停車場用地,PTD,16,交通運輸,,False
公園廣場用地,PEAB,19,公園綠地遊憩,,False
公園用地,PEA,19,公園綠地遊憩,,False
公園綠地,PEA1,19,公園綠地遊憩,,False
公墓用地,PDB,34,殯葬,,False
公車調度站用地,PTE5,13,交通運輸,,False
創意文化專用區,D8,19,文化宗教保存,,False
加油站用地,PUG,17,交通運輸,,False
動物園用地,PEC3,19,公園綠地遊憩,,False
博物館特定專用區,D26,3,文化宗教保存,,False
古蹟保存區,K3,15,文化宗教保存,,False
古蹟用地,K1,15,文化宗教保存,,False
台北工專用地,PSF1,10,文教,,False
台灣大學用地,PSF3,10,文教,,False
商務產業專用區,D3,3,工業產業,,False
商業區,B,3,商業服務,,False
國中用地,PSC,10,文教,,False
國小用地,PSB,10,文教,,False
國立臺北藝術大學用地,PSF7,10,文教,,False
國立陽明大學用地,PSF9,10,文教,,False
國際事務及公共服務特定專用區,D12,3,公共行政服務,,False
垃圾掩理場用地,PPB,18,公共事業設施,,False
垃圾處理場用地,PPA,18,公共事業設施,,False
堤防用地,PFE,5,水域水利,,False
大學用地,PSG,10,文教,,False
大專用地,PSF,10,文教,,False
娛樂區,F,29,公園綠地遊憩,,False
學校及郵政用地,PUF2,13,公共行政服務,複合用途：同時包含文教與郵政功能，暫歸公共行政服務，保留人工審查。,True
學校用地,PS,10,文教,,False
宗教特定專用區,D24,10,文化宗教保存,,False
寺廟專用區,KD,15,文化宗教保存,,False
工業區,I,9,工業產業,,False
市場用地,PM,16,商業服務,,False
市民運動中心用地,PGAD,13,公園綠地遊憩,,False
市立啟明學校用地,PSD4,10,文教,,False
市立啟智學校用地,PSD3,10,文教,,False
師專用地,PSF2,10,文教,,False
師範大學用地,PSF5,10,文教,,False
廣場用地,PED,17,公園綠地遊憩,,False
復興劇校學校用地,PSD2,10,文教,,False
批發市場用地,PMA,16,商業服務,,False
抽水站用地,PFD1,13,公共事業設施,,False
捷運系統用地,PTG3,18,交通運輸,,False
捷運系統用地(兼供道路使用),PTG4,18,交通運輸,,False
捷運開發區,BAI,3,交通運輸,,False
排水溝用地,PFB,7,水域水利,,False
擋土牆護坡用地,PTA8,18,交通運輸,,False
政治大學用地,PSF4,10,文教,,False
文化廣場用地,PED2,17,文化宗教保存,,False
文化特定專用區,D18,3,文化宗教保存,,False
文化觀光專用區,D9,3,文化宗教保存,,False
文教區,C,10,文教,,False
文教區(供奎山實驗高級中等學校使用),CIA2,10,文教,,False
文教區(供幼華高級中學使用),CIA1,10,文教,,False
文教區(供私立東山高中使用),CIA3,10,文教,,False
文教區(供私立薇閣中小學使用),CHA1,10,文教,,False
文教區(供臺北城市科技大學使用),CJA1,10,文教,,False
文教區(供馬偕醫護管理專科學校使用),CKA1,10,文教,,False
文教用地,PSA,10,文教,,False
服務中心用地,PGAB,16,商業服務,,False
橋樑用地,PTAA,18,交通運輸,,False
機場用地,PTE,18,交通運輸,,False
機場邊緣特定專用區,O1,3,交通運輸,,False
機關及社會福利設施用地,PGAE,13,公共行政服務,,False
機關用地,PG,13,公共行政服務,,False
機關用地(供中央機關使用),PG3,13,公共行政服務,,False
機關用地兼供社會福利設施使用,PGAH,13,公共行政服務,,False
歷史聚落風貌特定專用區,D13,3,文化宗教保存,,False
殯儀館用地,PDA,4,殯葬,,False
殯葬設施用地,PDA2,4,殯葬,,False
水利設施用地,PFB2,7,水域水利,,False
水溝用地,PFB3,7,水域水利,,False
污水抽水站用地,PFD2,13,公共事業設施,,False
污水處理場用地,PPC,18,公共事業設施,,False
沉砂池用地,PFC3,13,水域水利,,False
河川區,PW1,7,水域水利,,False
河川用地,PW,7,水域水利,,False
河道用地,PFA,7,水域水利,,False
消防用地,PGB4,13,公共行政服務,,False
溝渠用地,PFB4,7,水域水利,,False
溫泉產業特定專用區,D28,3,商業服務,,False
煤氣公用事業用地,PUA,18,公共事業設施,,False
特定休閒旅館住宅專用區,R5,4,住宅,,False
特定專用區,D,3,特殊專用,名稱不足以判斷主要土地使用功能，暫歸特殊專用並保留人工審查。,True
特定觀光商業專用區,B5,3,商業服務,,False
產業支援專用區,D25,3,工業產業,,False
產業支援設施用地,PA2,53,工業產業,,False
產業服務區,IF,9,工業產業,,False
社教機構用地,PGA0,13,文教,,False
社教用地,PSA2,10,文教,,False
社會福利設施及機關用地,PGAF,13,公共行政服務,,False
社會福利設施用地,PGAC,13,公共行政服務,,False
社福及機關用地,PGAG,13,公共行政服務,,False
社福及機關用地(供本府及相關單位公務使用),PGAO,13,公共行政服務,,False
私立中國海專用地,CDU,10,文教,,False
私立德明商專學校用地,CED,10,文教,,False
私立文化大學用地,CEC,10,文教,,False
私立文德女中學校用地,CDI,10,文教,,False
私立西湖工商學校用地,CDH,10,文教,,False
科技產業專用區,D16,9,工業產業,,False
糧倉專用區,S1,14,農業,,False
綠地(苗圃),PEB3,19,公園綠地遊憩,,False
綠地用地,PEB,19,公園綠地遊憩,,False
聚落風貌保存專用區,K5,3,文化宗教保存,,False
聯合開發區,BAH,3,特殊專用,可能包含交通、商業、住宅等混合用途，僅依名稱無法可靠判斷，暫歸特殊專用。,True
自來水事業用地,PUE,13,公共事業設施,,False
自來水加壓站用地,PUE4,13,公共事業設施,,False
自來水工程用地,PUE3,13,公共事業設施,,False
自來水廠用地,PUE1,13,公共事業設施,,False
自來水用地,PUE2,13,公共事業設施,,False
自來水設備用地,PUE5,13,公共事業設施,,False
行政區,G,13,公共行政服務,,False
行政專用區,G01,13,公共行政服務,,False
行水區,W,7,水域水利,,False
衛生及社會福利設施用地,PGAI,13,公共行政服務,,False
衛福及機關用地,PGAP,13,公共行政服務,,False
調度站用地,PTE4,13,交通運輸,,False
警察學校用地,PSF6,10,文教,,False
警察機關用地,PGB1,13,公共行政服務,,False
護坡用地,PTA5,18,交通運輸,,False
變電所用地,PUB1,18,公共事業設施,,False
資訊產業專用區,D7,3,工業產業,,False
車站用地,PTC,18,交通運輸,,False
軍事機關用地,PGC,13,公共行政服務,,False
軍人公墓用地,PDB1,34,殯葬,,False
轉運站用地,PTG2,18,交通運輸,,False
農業區,A,14,農業,,False
遊樂區,E,82,公園綠地遊憩,,False
道路用地,PTR,17,交通運輸,,False
道路護坡用地,PTA6,18,交通運輸,,False
郵政用地,PUF,13,公共行政服務,,False
